Island,Station Name,Serial Number,Deploy date time (local),Recover date time (local),Latitude,Longitude
Oahu,Kaneohe Midbay,8141,4/14/2009,9/29/2009,21.46288,-157.81975
Oahu,Jimmy Hall Tour Mooring,101137,10/19/2007,11/21/2008,21.64112,-158.13047
Oahu,HIMB Reef 8 West,101200,10/24/2012 13:50,4/16/2014 9:48,21.44196,-157.79625
Oahu,HIMB South East,104740,11/3/2017 9:27,9/19/2018,21.43453,-157.78382
Oahu,KBay Green Buoy 23,105525,5/21/2014 9:15,8/29/2016 14:21,21.44778,-157.79155
Oahu,KBay Green Buoy 23,106263,8/29/2016 14:06,11/3/2017 9:50,21.44778,-157.79155
Oahu,Turtle Cave,106263,9/19/2018 11:39,11/27/2019 12:14,21.47416,-157.7739
Oahu,Turtle Cave,106267,9/26/2017 13:43,9/19/2018 12:07,21.47416,-157.7739
Oahu,Kaneohe Midbay,106702,7/14/2011 0:00,8/27/2012 16:06,21.46288,-157.81975
Oahu,Kipapa Shallow,106702,9/15/2016 14:18,8/30/2017,21.48997,-157.77931
Oahu,Lilipuna,106702,11/3/2017 10:26,9/19/2018 15:42,21.43198,-157.79349
Oahu,Turtle Cave,107190,6/19/2015 11:45,9/12/2016 14:00,21.47416,-157.7739
Oahu,Kipapa Mid,107193,9/15/2016 13:17,8/30/2017,21.4972,-157.77452
Oahu,Outer North K Bay,107203,9/26/2017 12:43,9/19/2018 11:10,21.50158,-157.79359
Oahu,Kipapa Deep,107204,11/19/2013 13:44,11/26/2014,21.50943,-157.76587
Oahu,Kaneohe Midbay,107205,11/3/2017 11:44,9/19/2018 12:43,21.46288,-157.81975
Oahu,Joe Pavsek Tour Mooring,107209,8/20/2014 9:38,5/21/2015,21.62387,-158.1492
Oahu,Lilipuna,107210,8/12/2014 11:57,8/29/2016 15:02,21.43198,-157.79349
Oahu,Kipapa Shallow,110395,5/29/2015 10:02,10/4/2016 11:35,21.48997,-157.77931
Oahu,Outer North K Bay,112019,1/11/2012 13:31,9/20/2012 12:20,21.50158,-157.79359
Oahu,Kipapa Deep,112022,5/29/2015 11:05,9/15/2016 12:38,21.50943,-157.76587
Oahu,Joe Pavsek Tour Mooring,112022,10/5/2016 11:28,8/17/2017 11:13,21.62387,-158.1492
Oahu,Outer North K Bay,112487,9/12/2016 12:41,9/26/2017 12:38,21.50158,-157.79359
Oahu,Joe Pavsek Tour Mooring,112495,5/21/2015 8:06,10/5/2016 11:13,21.62387,-158.1492
Oahu,Kipapa Shallow,112495,8/30/2017,10/4/2018,21.48997,-157.77931
Oahu,HIMB South East,112510,8/12/2014 12:42,8/29/2016 15:46,21.43453,-157.78382
Oahu,Lilipuna,112514,8/27/2012,8/12/2014 12:40,21.43198,-157.79349
Oahu,Kaneohe Midbay,112522,8/27/2012 15:56,6/30/2014,21.46288,-157.81975
Oahu,Kipapa Deep,112522,8/30/2017,10/4/2018,21.50943,-157.76587
Oahu,Outer North K Bay,112767,7/14/2011,1/11/2012 13:49,21.50158,-157.79359
Oahu,Kaneohe Midbay,113196,9/6/2016 10:34,11/3/2017 11:35,21.46288,-157.81975
Oahu,Reef 44,114277,8/29/2016 12:05,11/7/2017 11:00,21.47669,-157.82991
Oahu,Reef 44,114279,5/20/2014 11:25,8/29/2016 12:30,21.47669,-157.82991
Oahu,Lilipuna,114280,8/29/2016 14:49,11/3/2017 10:17,21.43198,-157.79349
Oahu,HIMB South East,114375,8/29/2016 15:33,11/3/2017 9:20,21.43453,-157.78382
Oahu,Kipapa Deep,123730,9/15/2016 12:45,8/30/2017,21.50943,-157.76587
